participant,group,max_vpt,mean_vpt
10010,CAB,10,10
10011,BCA,9,9
10012,CAB,9,8.333333333333334
10013,BCA,4,4
10015,ACB,7,6.333333333333333
10016,BAC,9,8.333333333333334
10017,CBA,6,5.333333333333333
10018,BAC,10,10
10019,ACB,10,9.666666666666666
10020,BCA,8,7.333333333333333
10021,ABC,10,9.333333333333334
10022,BCA,7,6.333333333333333
10023,CBA,7,6.333333333333333
10024,BAC,10,9.666666666666666
10025,ABC,10,9.666666666666666
10026,BCA,9,8.333333333333334
10027,CAB,10,10
10028,CAB,9,8.333333333333334
10029,CBA,10,9.666666666666666
10030,BAC,8,8
10031,BAC,8,7.666666666666667
10032,BCA,8,7.333333333333333
119238710566,CAB,10,9.666666666666666
134423588053,CBA,8,7.333333333333333
176876591960,ABC,10,9.333333333333334
181625310168,BCA,10,10
191352558881,BCA,10,9.666666666666666
230068048695,CAB,10,10
231023528450,ACB,10,9.666666666666666
277529272856,CAB,10,10
294874663208,CAB,10,9.333333333333334
318020814820,ABC,10,9.666666666666666
392002593306,BCA,10,9.666666666666666
414654074748,CAB,10,9.666666666666666
458214205270,CAB,10,10
483748594322,ACB,10,9.666666666666666
484025127976,BAC,10,10
501104472111,BCA,10,10
517308643925,BCA,9,8.666666666666666
560520040965,CAB,10,9.666666666666666
582545690541,BAC,10,9.666666666666666
604128320491,ABC,10,10
651964771235,ACB,7,6.333333333333333
675296385237,ACB,10,9.333333333333334
678536750213,BCA,10,9.666666666666666
692323212348,CBA,10,9.666666666666666
697608015709,BCA,8,7.333333333333333
730858445772,CBA,10,9.666666666666666
771719516720,BCA,10,10
798938289447,BCA,10,10
822385097411,BAC,10,9.666666666666666
8233,ABC,10,10
8242,CBA,10,9.666666666666666
8251,CBA,10,10
838440669607,CBA,10,9.666666666666666
848199286335,CAB,10,9.666666666666666
8485,BAC,8,7.333333333333333
8488,CBA,10,9.333333333333334
8497,CBA,9,8.333333333333334
8506,CBA,10,9.666666666666666
8509,BAC,7,6.333333333333333
8515,ABC,10,10
8533,ABC,9,8.666666666666666
857677498017,CBA,10,10
8596,ABC,10,9.666666666666666
8644,BCA,8,7.333333333333333
8665,BAC,9,8.333333333333334
8668,CAB,10,9.333333333333334
8761,BAC,10,9.666666666666666
8767,CAB,8,7.333333333333333
8791,CAB,7,6.333333333333333
8800,ACB,8,7.333333333333333
8803,CBA,10,10
8812,ABC,9,8.333333333333334
8815,ACB,10,9.666666666666666
8824,CBA,10,10
8827,ACB,9,8.333333333333334
8833,BAC,10,10
8842,CAB,10,9.666666666666666
8845,BCA,10,10
8857,CAB,10,9.666666666666666
8863,CAB,10,10
8866,BCA,10,9.333333333333334
8875,CBA,8,7.333333333333333
8896,ACB,10,9.333333333333334
8902,CAB,10,9.333333333333334
8917,BCA,10,9.666666666666666
8926,CAB,10,9.333333333333334
8929,CAB,10,10
8932,CBA,10,10
8935,CAB,10,9.666666666666666
8953,CBA,10,10
8971,CBA,9,9
8986,BAC,10,9.333333333333334
916438355576,CBA,9,8.333333333333334
933126141410,CAB,10,9.666666666666666
939257332379,CAB,9,8.333333333333334
957558488938,CAB,10,9.666666666666666
